Laporan Harga Sir 
Harga Perbandingan Tertinggi 3 Tahun Terakhir di Bulan Yang Sama
Tanggal	 Harga Rupiah 	Harga Rp/100	Harga Sir SGD	 Harga Sir (Rp) 
2/3/2025	 Rp          16,580 	 Rp         165.80 	     206.10 	 Rp             34,171 
23/02/2025	 Rp          16,592 	 Rp         165.92 	     221.40 	 Rp             36,735 
16/02/2025	 Rp          16,375 	 Rp         163.75 	     210.00 	 Rp             34,388 
9/2/2025	 Rp          16,400 	 Rp         164.00 	     205.20 	 Rp             33,653 
25/02/2024	 Rp          15,735 	 Rp         157.35 	     165.00 	 Rp             25,963 
18/02/2024	 Rp          15,685 	 Rp         156.85 	     161.00 	 Rp             25,253 
11/2/2024	 Rp          15,677 	 Rp         156.77 	     154.50 	 Rp             24,221 
4/2/2024	 Rp          15,757 	 Rp         157.57 	     153.30 	 Rp             24,155 
26/02/2023	 Rp          15,330 	 Rp         153.30 	     142.00 	 Rp             21,769 
19/02/2023	 Rp          15,229 	 Rp         152.29 	     141.40 	 Rp             21,534 
12/2/2023	 Rp          15,227 	 Rp         152.27 	     139.10 	 Rp             21,181 
5/2/2023	 Rp          15,153 	 Rp         151.53 	     141.70 	 Rp             21,472 


Harga Perbandingan Terendah 3 Tahun Terakhir di Bulan Yang Sama
Tanggal	 Harga Rupiah 	Harga Rp/100	Harga Sir SGD	 Harga Sir (Rp) 
27/10/2024	 Rp       15,778 	 Rp      157.78 	     197.30 	 Rp            31,130 
20/10/2024	 Rp       15,651 	 Rp      156.51 	     198.80 	 Rp            31,114 
13/10/2024	 Rp       15,615 	 Rp      156.15 	     202.30 	 Rp            31,589 
6/10/2024	 Rp       15,702 	 Rp      157.02 	     217.90 	 Rp            34,215 
29/10/2023	 Rp       15,953 	 Rp      159.53 	     152.90 	 Rp            24,392 
22/10/2023	 Rp       15,967 	 Rp      159.67 	     148.80 	 Rp            23,759 
15/10/2023	 Rp       15,889 	 Rp      158.89 	     150.00 	 Rp            23,834 
8/10/2023	 Rp       15,742 	 Rp      157.42 	     149.00 	 Rp            23,456 
1/10/2023	 Rp       15,646 	 Rp      156.46 	     141.20 	 Rp            22,092 
30/10/2022	 Rp       15,760 	 Rp      157.60 	     125.30 	 Rp            19,747 
23/10/2022	 Rp       15,645 	 Rp      156.45 	     124.70 	 Rp            19,509 
16/10/2022	 Rp       15,635 	 Rp      156.35 	     132.70 	 Rp            20,748 
9/10/2022	 Rp       15,426 	 Rp      154.26 	     140.40 	 Rp            21,658 
2/10/2022	 Rp       15,312 	 Rp      153.12 	     138.00 	 Rp            21,131 

